"","Anon.Student.Id","Problem.Name","Day","Condition","hints_req","num_errors","minSpent","Inc->Cor","Inc->Hint","Inc->Inc","NumBOH"
"52","Stu_0219136de66a5f3a0db28b2dd02a3dda",25,"04/27/10","moderate",0,2,0.416666666666667,1,0,0,0
"55","Stu_0219136de66a5f3a0db28b2dd02a3dda",26,"04/27/10","moderate",0,1,0.85,1,0,0,0
"58","Stu_0219136de66a5f3a0db28b2dd02a3dda",27,"04/27/10","moderate",0,0,0.216666666666667,0,0,0,0
"61","Stu_0219136de66a5f3a0db28b2dd02a3dda",28,"04/27/10","moderate",0,7,1.58333333333333,0.428571428571429,0,0.571428571428571,0
"64","Stu_0219136de66a5f3a0db28b2dd02a3dda",29,"04/27/10","moderate",0,4,1.31666666666667,0.75,0,0.25,0
"70","Stu_0219136de66a5f3a0db28b2dd02a3dda",30,"04/27/10","moderate",0,4,1.68333333333333,0.5,0,0.5,0
"73","Stu_0219136de66a5f3a0db28b2dd02a3dda",31,"04/27/10","moderate",4,12,2.58333333333333,0.333333333333333,0.0833333333333333,0.583333333333333,1
"76","Stu_0219136de66a5f3a0db28b2dd02a3dda",32,"04/27/10","moderate",7,15,2.65,0.266666666666667,0.0666666666666667,0.666666666666667,1
"79","Stu_0219136de66a5f3a0db28b2dd02a3dda",33,"04/27/10","moderate",4,5,2.13333333333333,0.2,0.2,0.6,1
"82","Stu_0219136de66a5f3a0db28b2dd02a3dda",34,"04/27/10","moderate",7,29,3.21666666666667,0.0689655172413793,0.103448275862069,0.827586206896552,0
"2","Stu_0219136de66a5f3a0db28b2dd02a3dda",1,"04/28/10","moderate",0,5,3.23333333333333,0.6,0,0.4,0
"35","Stu_0219136de66a5f3a0db28b2dd02a3dda",2,"04/28/10","moderate",1,4,2.1,0.5,0.25,0.25,0
"68","Stu_0219136de66a5f3a0db28b2dd02a3dda",3,"04/28/10","moderate",0,0,1.03333333333333,0,0,0,0
"96","Stu_0219136de66a5f3a0db28b2dd02a3dda",4,"04/28/10","moderate",0,6,2.55,0.833333333333333,0,0.166666666666667,0
"99","Stu_0219136de66a5f3a0db28b2dd02a3dda",5,"04/28/10","moderate",0,4,2.48333333333333,0.75,0,0.25,0
"102","Stu_0219136de66a5f3a0db28b2dd02a3dda",6,"04/28/10","moderate",0,3,1.45,1,0,0,0
"105","Stu_0219136de66a5f3a0db28b2dd02a3dda",7,"04/28/10","moderate",0,2,1.11666666666667,1,0,0,0
"108","Stu_0219136de66a5f3a0db28b2dd02a3dda",8,"04/28/10","moderate",0,2,1.11666666666667,1,0,0,0
"111","Stu_0219136de66a5f3a0db28b2dd02a3dda",9,"04/28/10","moderate",0,2,1.31666666666667,0.5,0,0.5,0
"5","Stu_0219136de66a5f3a0db28b2dd02a3dda",10,"04/28/10","moderate",0,4,1.6,0.5,0,0.5,0
"8","Stu_0219136de66a5f3a0db28b2dd02a3dda",11,"04/28/10","moderate",0,5,2.21666666666667,0.8,0,0.2,0
"11","Stu_0219136de66a5f3a0db28b2dd02a3dda",12,"04/28/10","moderate",0,3,1.13333333333333,0.666666666666667,0,0.333333333333333,0
"14","Stu_0219136de66a5f3a0db28b2dd02a3dda",13,"04/28/10","moderate",0,2,1.78333333333333,1,0,0,0
"17","Stu_0219136de66a5f3a0db28b2dd02a3dda",14,"04/28/10","moderate",0,0,0.533333333333333,0,0,0,0
"20","Stu_0219136de66a5f3a0db28b2dd02a3dda",15,"04/28/10","moderate",0,0,0.2,0,0,0,0
"23","Stu_0219136de66a5f3a0db28b2dd02a3dda",16,"04/28/10","moderate",0,0,0.216666666666667,0,0,0,0
"26","Stu_0219136de66a5f3a0db28b2dd02a3dda",17,"04/28/10","moderate",0,0,0.166666666666667,0,0,0,0
"29","Stu_0219136de66a5f3a0db28b2dd02a3dda",18,"04/28/10","moderate",0,0,0.15,0,0,0,0
"32","Stu_0219136de66a5f3a0db28b2dd02a3dda",19,"04/28/10","moderate",0,3,1.1,0.666666666666667,0,0.333333333333333,0
"38","Stu_0219136de66a5f3a0db28b2dd02a3dda",20,"04/28/10","moderate",0,1,0.533333333333333,1,0,0,0
"41","Stu_0219136de66a5f3a0db28b2dd02a3dda",21,"04/28/10","moderate",0,0,0.366666666666667,0,0,0,0
"44","Stu_0219136de66a5f3a0db28b2dd02a3dda",22,"04/28/10","moderate",0,0,0.416666666666667,0,0,0,0
"47","Stu_0219136de66a5f3a0db28b2dd02a3dda",23,"04/28/10","moderate",0,1,0.25,1,0,0,0
"50","Stu_0219136de66a5f3a0db28b2dd02a3dda",24,"04/28/10","moderate",0,0,0.166666666666667,0,0,0,0
"53","Stu_0219136de66a5f3a0db28b2dd02a3dda",25,"04/28/10","moderate",0,17,4.75,0.235294117647059,0,0.764705882352941,0
"83","Stu_0219136de66a5f3a0db28b2dd02a3dda",34,"04/28/10","moderate",3,46,5.7,0.0434782608695652,0.0652173913043478,0.891304347826087,0
"86","Stu_0219136de66a5f3a0db28b2dd02a3dda",35,"04/28/10","moderate",0,4,0.95,0.25,0,0.75,0
"89","Stu_0219136de66a5f3a0db28b2dd02a3dda",36,"04/28/10","moderate",0,1,1.08333333333333,1,0,0,0
"92","Stu_0219136de66a5f3a0db28b2dd02a3dda",37,"04/28/10","moderate",0,2,0.883333333333333,1,0,0,0
"93","Stu_0219136de66a5f3a0db28b2dd02a3dda",38,"04/28/10","moderate",0,0,0.783333333333333,0,0,0,0
"94","Stu_0219136de66a5f3a0db28b2dd02a3dda",39,"04/28/10","moderate",0,0,0.5,0,0,0,0
"3","Stu_0219136de66a5f3a0db28b2dd02a3dda",1,"04/29/10","moderate",3,5,1.7,0.6,0.2,0.2,0
"36","Stu_0219136de66a5f3a0db28b2dd02a3dda",2,"04/29/10","moderate",0,2,3.16666666666667,1,0,0,0
"69","Stu_0219136de66a5f3a0db28b2dd02a3dda",3,"04/29/10","moderate",0,0,1.71666666666667,0,0,0,0
"97","Stu_0219136de66a5f3a0db28b2dd02a3dda",4,"04/29/10","moderate",0,4,1.71666666666667,0.5,0,0.5,0
"100","Stu_0219136de66a5f3a0db28b2dd02a3dda",5,"04/29/10","moderate",4,4,2.56666666666667,0.25,0.25,0.5,1
"103","Stu_0219136de66a5f3a0db28b2dd02a3dda",6,"04/29/10","moderate",0,0,0.816666666666667,0,0,0,0
"106","Stu_0219136de66a5f3a0db28b2dd02a3dda",7,"04/29/10","moderate",0,0,0.8,0,0,0,0
"109","Stu_0219136de66a5f3a0db28b2dd02a3dda",8,"04/29/10","moderate",0,2,1.3,1,0,0,0
"112","Stu_0219136de66a5f3a0db28b2dd02a3dda",9,"04/29/10","moderate",0,1,0.683333333333333,1,0,0,0
"6","Stu_0219136de66a5f3a0db28b2dd02a3dda",10,"04/29/10","moderate",0,2,0.833333333333333,1,0,0,0
"9","Stu_0219136de66a5f3a0db28b2dd02a3dda",11,"04/29/10","moderate",0,2,0.85,1,0,0,0
"12","Stu_0219136de66a5f3a0db28b2dd02a3dda",12,"04/29/10","moderate",0,0,0.65,0,0,0,0
"15","Stu_0219136de66a5f3a0db28b2dd02a3dda",13,"04/29/10","moderate",0,2,0.383333333333333,1,0,0,0
"18","Stu_0219136de66a5f3a0db28b2dd02a3dda",14,"04/29/10","moderate",0,0,0.166666666666667,0,0,0,0
"21","Stu_0219136de66a5f3a0db28b2dd02a3dda",15,"04/29/10","moderate",0,0,0.166666666666667,0,0,0,0
"24","Stu_0219136de66a5f3a0db28b2dd02a3dda",16,"04/29/10","moderate",4,4,2.56666666666667,0.25,0.25,0.5,1
"27","Stu_0219136de66a5f3a0db28b2dd02a3dda",17,"04/29/10","moderate",0,0,0.266666666666667,0,0,0,0
"30","Stu_0219136de66a5f3a0db28b2dd02a3dda",18,"04/29/10","moderate",0,2,0.433333333333333,1,0,0,0
"33","Stu_0219136de66a5f3a0db28b2dd02a3dda",19,"04/29/10","moderate",0,0,0.3,0,0,0,0
"39","Stu_0219136de66a5f3a0db28b2dd02a3dda",20,"04/29/10","moderate",0,5,0.316666666666667,0.6,0,0.4,0
"42","Stu_0219136de66a5f3a0db28b2dd02a3dda",21,"04/29/10","moderate",0,0,1.03333333333333,0,0,0,0
"45","Stu_0219136de66a5f3a0db28b2dd02a3dda",22,"04/29/10","moderate",0,4,0.516666666666667,0.75,0,0.25,0
"48","Stu_0219136de66a5f3a0db28b2dd02a3dda",23,"04/29/10","moderate",0,1,0.333333333333333,1,0,0,0
"51","Stu_0219136de66a5f3a0db28b2dd02a3dda",24,"04/29/10","moderate",0,0,0.25,0,0,0,0
"56","Stu_0219136de66a5f3a0db28b2dd02a3dda",26,"04/29/10","moderate",0,12,1.96666666666667,0.416666666666667,0,0.583333333333333,0
"59","Stu_0219136de66a5f3a0db28b2dd02a3dda",27,"04/29/10","moderate",0,3,1.18333333333333,0.333333333333333,0,0.666666666666667,0
"62","Stu_0219136de66a5f3a0db28b2dd02a3dda",28,"04/29/10","moderate",0,8,2.2,0.5,0,0.5,0
"65","Stu_0219136de66a5f3a0db28b2dd02a3dda",29,"04/29/10","moderate",0,0,0.716666666666667,0,0,0,0
"71","Stu_0219136de66a5f3a0db28b2dd02a3dda",30,"04/29/10","moderate",0,0,0.3,0,0,0,0
"74","Stu_0219136de66a5f3a0db28b2dd02a3dda",31,"04/29/10","moderate",0,1,0.883333333333333,1,0,0,0
"77","Stu_0219136de66a5f3a0db28b2dd02a3dda",32,"04/29/10","moderate",2,2,1.15,0.5,0.5,0,0
"80","Stu_0219136de66a5f3a0db28b2dd02a3dda",33,"04/29/10","moderate",0,0,0.283333333333333,0,0,0,0
"84","Stu_0219136de66a5f3a0db28b2dd02a3dda",34,"04/29/10","moderate",7,6,2.13333333333333,0.333333333333333,0.5,0.166666666666667,0
"87","Stu_0219136de66a5f3a0db28b2dd02a3dda",35,"04/29/10","moderate",0,0,0.5,0,0,0,0
"90","Stu_0219136de66a5f3a0db28b2dd02a3dda",36,"04/29/10","moderate",0,0,0.383333333333333,0,0,0,0
"54","Stu_0219136de66a5f3a0db28b2dd02a3dda",25,"04/30/10","moderate",1,4,1.33333333333333,0.5,0.25,0.25,0
"57","Stu_0219136de66a5f3a0db28b2dd02a3dda",26,"04/30/10","moderate",0,1,0.383333333333333,1,0,0,0
"60","Stu_0219136de66a5f3a0db28b2dd02a3dda",27,"04/30/10","moderate",0,2,0.683333333333333,0.5,0,0.5,0
"63","Stu_0219136de66a5f3a0db28b2dd02a3dda",28,"04/30/10","moderate",0,0,0.316666666666667,0,0,0,0
"66","Stu_0219136de66a5f3a0db28b2dd02a3dda",29,"04/30/10","moderate",0,1,0.483333333333333,1,0,0,0
"72","Stu_0219136de66a5f3a0db28b2dd02a3dda",30,"04/30/10","moderate",0,2,0.833333333333333,1,0,0,0
"75","Stu_0219136de66a5f3a0db28b2dd02a3dda",31,"04/30/10","moderate",0,0,0.533333333333333,0,0,0,0
"78","Stu_0219136de66a5f3a0db28b2dd02a3dda",32,"04/30/10","moderate",0,1,0.65,1,0,0,0
"81","Stu_0219136de66a5f3a0db28b2dd02a3dda",33,"04/30/10","moderate",0,0,0.216666666666667,0,0,0,0
"85","Stu_0219136de66a5f3a0db28b2dd02a3dda",34,"04/30/10","moderate",0,4,0.833333333333333,0.25,0,0.75,0
"88","Stu_0219136de66a5f3a0db28b2dd02a3dda",35,"04/30/10","moderate",0,6,0.983333333333333,0.333333333333333,0,0.666666666666667,0
"91","Stu_0219136de66a5f3a0db28b2dd02a3dda",36,"04/30/10","moderate",0,0,0.366666666666667,0,0,0,0
"113","Stu_029eb9f0cdfed76e9886909ffa3204c5",1,"05/04/10","single",0,0,0.633333333333333,0,0,0,0
"146","Stu_029eb9f0cdfed76e9886909ffa3204c5",2,"05/04/10","single",4,12,4.58333333333333,0.416666666666667,0.333333333333333,0.25,0
"179","Stu_029eb9f0cdfed76e9886909ffa3204c5",3,"05/04/10","single",0,0,1.13333333333333,0,0,0,0
"204","Stu_029eb9f0cdfed76e9886909ffa3204c5",4,"05/04/10","single",0,7,1.83333333333333,0.571428571428571,0,0.428571428571429,0
"207","Stu_029eb9f0cdfed76e9886909ffa3204c5",5,"05/04/10","single",0,3,2.4,0.666666666666667,0,0.333333333333333,0
"210","Stu_029eb9f0cdfed76e9886909ffa3204c5",6,"05/04/10","single",1,4,2.73333333333333,0.75,0,0.25,0
"213","Stu_029eb9f0cdfed76e9886909ffa3204c5",7,"05/04/10","single",0,0,0.9,0,0,0,0
"216","Stu_029eb9f0cdfed76e9886909ffa3204c5",8,"05/04/10","single",0,4,1.9,0.75,0,0.25,0
"219","Stu_029eb9f0cdfed76e9886909ffa3204c5",9,"05/04/10","single",1,6,2.4,0.833333333333333,0,0.166666666666667,0
"116","Stu_029eb9f0cdfed76e9886909ffa3204c5",10,"05/04/10","single",0,4,1.21666666666667,0.75,0,0.25,0
"119","Stu_029eb9f0cdfed76e9886909ffa3204c5",11,"05/04/10","single",0,3,0.883333333333333,1,0,0,0
"114","Stu_029eb9f0cdfed76e9886909ffa3204c5",1,"05/06/10","single",0,4,1.4,0.5,0,0.5,0
"147","Stu_029eb9f0cdfed76e9886909ffa3204c5",2,"05/06/10","single",0,1,1.23333333333333,1,0,0,0
"180","Stu_029eb9f0cdfed76e9886909ffa3204c5",3,"05/06/10","single",0,4,1.36666666666667,1,0,0,0
"205","Stu_029eb9f0cdfed76e9886909ffa3204c5",4,"05/06/10","single",0,5,2.48333333333333,1,0,0,0
"208","Stu_029eb9f0cdfed76e9886909ffa3204c5",5,"05/06/10","single",0,5,1.83333333333333,0.4,0,0.6,0
"211","Stu_029eb9f0cdfed76e9886909ffa3204c5",6,"05/06/10","single",0,1,3.63333333333333,1,0,0,0
"214","Stu_029eb9f0cdfed76e9886909ffa3204c5",7,"05/06/10","single",0,2,0.933333333333333,1,0,0,0
"217","Stu_029eb9f0cdfed76e9886909ffa3204c5",8,"05/06/10","single",0,4,1.63333333333333,1,0,0,0
"122","Stu_029eb9f0cdfed76e9886909ffa3204c5",12,"05/06/10","single",0,8,1.71666666666667,0.75,0,0.25,0
"125","Stu_029eb9f0cdfed76e9886909ffa3204c5",13,"05/06/10","single",0,2,1.6,1,0,0,0
"128","Stu_029eb9f0cdfed76e9886909ffa3204c5",14,"05/06/10","single",0,0,0.233333333333333,0,0,0,0
"131","Stu_029eb9f0cdfed76e9886909ffa3204c5",15,"05/06/10","single",0,0,1.15,0,0,0,0
"134","Stu_029eb9f0cdfed76e9886909ffa3204c5",16,"05/06/10","single",0,0,0.15,0,0,0,0
"137","Stu_029eb9f0cdfed76e9886909ffa3204c5",17,"05/06/10","single",0,1,0.3,1,0,0,0
"140","Stu_029eb9f0cdfed76e9886909ffa3204c5",18,"05/06/10","single",0,0,0.116666666666667,0,0,0,0
"143","Stu_029eb9f0cdfed76e9886909ffa3204c5",19,"05/06/10","single",0,0,0.15,0,0,0,0
"149","Stu_029eb9f0cdfed76e9886909ffa3204c5",20,"05/06/10","single",0,4,0.966666666666667,0.5,0,0.5,0
"152","Stu_029eb9f0cdfed76e9886909ffa3204c5",21,"05/06/10","single",0,1,0.283333333333333,1,0,0,0
"155","Stu_029eb9f0cdfed76e9886909ffa3204c5",22,"05/06/10","single",0,0,0.283333333333333,0,0,0,0
"158","Stu_029eb9f0cdfed76e9886909ffa3204c5",23,"05/06/10","single",0,0,0.316666666666667,0,0,0,0
"161","Stu_029eb9f0cdfed76e9886909ffa3204c5",24,"05/06/10","single",0,1,0.383333333333333,1,0,0,0
"164","Stu_029eb9f0cdfed76e9886909ffa3204c5",25,"05/06/10","single",0,0,0.183333333333333,0,0,0,0
"167","Stu_029eb9f0cdfed76e9886909ffa3204c5",26,"05/06/10","single",1,8,1.46666666666667,0.5,0.125,0.375,0
"170","Stu_029eb9f0cdfed76e9886909ffa3204c5",27,"05/06/10","single",0,6,1.05,0.5,0,0.5,0
"173","Stu_029eb9f0cdfed76e9886909ffa3204c5",28,"05/06/10","single",0,5,1,0.6,0,0.4,0
"176","Stu_029eb9f0cdfed76e9886909ffa3204c5",29,"05/06/10","single",0,3,0.65,0.666666666666667,0,0.333333333333333,0
"182","Stu_029eb9f0cdfed76e9886909ffa3204c5",30,"05/06/10","single",0,4,1.16666666666667,0.5,0,0.5,0
"185","Stu_029eb9f0cdfed76e9886909ffa3204c5",31,"05/06/10","single",0,4,0.866666666666667,0.75,0,0.25,0
"188","Stu_029eb9f0cdfed76e9886909ffa3204c5",32,"05/06/10","single",0,4,0.616666666666667,0.5,0,0.5,0
"191","Stu_029eb9f0cdfed76e9886909ffa3204c5",33,"05/06/10","single",0,3,0.65,0.333333333333333,0,0.666666666666667,0
"194","Stu_029eb9f0cdfed76e9886909ffa3204c5",34,"05/06/10","single",0,0,0.366666666666667,0,0,0,0
"197","Stu_029eb9f0cdfed76e9886909ffa3204c5",35,"05/06/10","single",0,2,1.06666666666667,1,0,0,0
"200","Stu_029eb9f0cdfed76e9886909ffa3204c5",36,"05/06/10","single",1,5,1.15,0.4,0.2,0.4,0
"203","Stu_029eb9f0cdfed76e9886909ffa3204c5",37,"05/06/10","single",0,1,0.716666666666667,1,0,0,0
"115","Stu_029eb9f0cdfed76e9886909ffa3204c5",1,"05/10/10","single",0,2,1.21666666666667,1,0,0,0
"220","Stu_029eb9f0cdfed76e9886909ffa3204c5",9,"05/10/10","single",0,6,1.88333333333333,0.666666666666667,0,0.333333333333333,0
"117","Stu_029eb9f0cdfed76e9886909ffa3204c5",10,"05/10/10","single",0,5,1.01666666666667,0.6,0,0.4,0
"120","Stu_029eb9f0cdfed76e9886909ffa3204c5",11,"05/10/10","single",0,2,1.7,0.5,0,0.5,0
"123","Stu_029eb9f0cdfed76e9886909ffa3204c5",12,"05/10/10","single",0,2,1.2,1,0,0,0
"126","Stu_029eb9f0cdfed76e9886909ffa3204c5",13,"05/10/10","single",0,0,0.2,0,0,0,0
"129","Stu_029eb9f0cdfed76e9886909ffa3204c5",14,"05/10/10","single",0,0,0.133333333333333,0,0,0,0
"132","Stu_029eb9f0cdfed76e9886909ffa3204c5",15,"05/10/10","single",0,0,0.15,0,0,0,0
"135","Stu_029eb9f0cdfed76e9886909ffa3204c5",16,"05/10/10","single",0,0,0.166666666666667,0,0,0,0
"138","Stu_029eb9f0cdfed76e9886909ffa3204c5",17,"05/10/10","single",0,0,0.1,0,0,0,0
"141","Stu_029eb9f0cdfed76e9886909ffa3204c5",18,"05/10/10","single",0,0,0.116666666666667,0,0,0,0
"144","Stu_029eb9f0cdfed76e9886909ffa3204c5",19,"05/10/10","single",0,5,0.383333333333333,0.6,0,0.4,0
"150","Stu_029eb9f0cdfed76e9886909ffa3204c5",20,"05/10/10","single",0,3,0.4,1,0,0,0
"153","Stu_029eb9f0cdfed76e9886909ffa3204c5",21,"05/10/10","single",0,0,0.3,0,0,0,0
"156","Stu_029eb9f0cdfed76e9886909ffa3204c5",22,"05/10/10","single",0,1,0.316666666666667,1,0,0,0
"159","Stu_029eb9f0cdfed76e9886909ffa3204c5",23,"05/10/10","single",0,0,0.35,0,0,0,0
"162","Stu_029eb9f0cdfed76e9886909ffa3204c5",24,"05/10/10","single",0,0,0.216666666666667,0,0,0,0
"165","Stu_029eb9f0cdfed76e9886909ffa3204c5",25,"05/10/10","single",0,8,1.41666666666667,0.5,0,0.5,0
"168","Stu_029eb9f0cdfed76e9886909ffa3204c5",26,"05/10/10","single",0,1,0.483333333333333,1,0,0,0
"171","Stu_029eb9f0cdfed76e9886909ffa3204c5",27,"05/10/10","single",0,11,3.21666666666667,0.545454545454545,0,0.454545454545455,0
"174","Stu_029eb9f0cdfed76e9886909ffa3204c5",28,"05/10/10","single",0,3,0.966666666666667,0.666666666666667,0,0.333333333333333,0
"177","Stu_029eb9f0cdfed76e9886909ffa3204c5",29,"05/10/10","single",0,7,1.7,0.428571428571429,0,0.571428571428571,0
"183","Stu_029eb9f0cdfed76e9886909ffa3204c5",30,"05/10/10","single",0,6,1.38333333333333,0.5,0,0.5,0
"186","Stu_029eb9f0cdfed76e9886909ffa3204c5",31,"05/10/10","single",0,10,2.06666666666667,0.7,0,0.3,0
"189","Stu_029eb9f0cdfed76e9886909ffa3204c5",32,"05/10/10","single",1,11,4.56666666666667,0.272727272727273,0.0909090909090909,0.636363636363636,0
"192","Stu_029eb9f0cdfed76e9886909ffa3204c5",33,"05/10/10","single",0,2,1.26666666666667,1,0,0,0
"195","Stu_029eb9f0cdfed76e9886909ffa3204c5",34,"05/10/10","single",0,3,0.583333333333333,1,0,0,0
"198","Stu_029eb9f0cdfed76e9886909ffa3204c5",35,"05/10/10","single",0,9,2.51666666666667,0.333333333333333,0,0.666666666666667,0
"201","Stu_029eb9f0cdfed76e9886909ffa3204c5",36,"05/10/10","single",0,4,1.35,1,0,0,0
"148","Stu_029eb9f0cdfed76e9886909ffa3204c5",2,"05/13/10","single",0,2,2.15,1,0,0,0
"181","Stu_029eb9f0cdfed76e9886909ffa3204c5",3,"05/13/10","single",0,3,1.03333333333333,0.666666666666667,0,0.333333333333333,0
"206","Stu_029eb9f0cdfed76e9886909ffa3204c5",4,"05/13/10","single",0,4,1.73333333333333,0.5,0,0.5,0
"209","Stu_029eb9f0cdfed76e9886909ffa3204c5",5,"05/13/10","single",0,2,1.88333333333333,0.5,0,0.5,0
"212","Stu_029eb9f0cdfed76e9886909ffa3204c5",6,"05/13/10","single",0,2,0.933333333333333,1,0,0,0
"215","Stu_029eb9f0cdfed76e9886909ffa3204c5",7,"05/13/10","single",0,5,1.45,0.8,0,0.2,0
"218","Stu_029eb9f0cdfed76e9886909ffa3204c5",8,"05/13/10","single",0,2,0.933333333333333,1,0,0,0
"221","Stu_029eb9f0cdfed76e9886909ffa3204c5",9,"05/13/10","single",0,3,0.65,1,0,0,0
"118","Stu_029eb9f0cdfed76e9886909ffa3204c5",10,"05/13/10","single",0,2,0.583333333333333,0.5,0,0.5,0
"121","Stu_029eb9f0cdfed76e9886909ffa3204c5",11,"05/13/10","single",0,2,1.38333333333333,1,0,0,0
"124","Stu_029eb9f0cdfed76e9886909ffa3204c5",12,"05/13/10","single",0,0,1.13333333333333,0,0,0,0
"127","Stu_029eb9f0cdfed76e9886909ffa3204c5",13,"05/13/10","single",0,0,0.15,0,0,0,0
"130","Stu_029eb9f0cdfed76e9886909ffa3204c5",14,"05/13/10","single",0,0,0.116666666666667,0,0,0,0
"133","Stu_029eb9f0cdfed76e9886909ffa3204c5",15,"05/13/10","single",0,1,0.216666666666667,1,0,0,0
"136","Stu_029eb9f0cdfed76e9886909ffa3204c5",16,"05/13/10","single",0,0,0.116666666666667,0,0,0,0
"139","Stu_029eb9f0cdfed76e9886909ffa3204c5",17,"05/13/10","single",0,0,0.233333333333333,0,0,0,0
"142","Stu_029eb9f0cdfed76e9886909ffa3204c5",18,"05/13/10","single",0,0,0.133333333333333,0,0,0,0
"145","Stu_029eb9f0cdfed76e9886909ffa3204c5",19,"05/13/10","single",0,5,0.466666666666667,0.6,0,0.4,0
"151","Stu_029eb9f0cdfed76e9886909ffa3204c5",20,"05/13/10","single",0,1,0.583333333333333,1,0,0,0
"154","Stu_029eb9f0cdfed76e9886909ffa3204c5",21,"05/13/10","single",0,2,0.516666666666667,0.5,0,0.5,0
"157","Stu_029eb9f0cdfed76e9886909ffa3204c5",22,"05/13/10","single",0,0,0.3,0,0,0,0
"160","Stu_029eb9f0cdfed76e9886909ffa3204c5",23,"05/13/10","single",0,0,0.266666666666667,0,0,0,0
"163","Stu_029eb9f0cdfed76e9886909ffa3204c5",24,"05/13/10","single",0,0,0.183333333333333,0,0,0,0
"166","Stu_029eb9f0cdfed76e9886909ffa3204c5",25,"05/13/10","single",0,3,0.633333333333333,0.666666666666667,0,0.333333333333333,0
"169","Stu_029eb9f0cdfed76e9886909ffa3204c5",26,"05/13/10","single",0,2,0.533333333333333,1,0,0,0
"172","Stu_029eb9f0cdfed76e9886909ffa3204c5",27,"05/13/10","single",0,8,1.28333333333333,0.375,0,0.625,0
"175","Stu_029eb9f0cdfed76e9886909ffa3204c5",28,"05/13/10","single",0,3,0.5,0.666666666666667,0,0.333333333333333,0
"178","Stu_029eb9f0cdfed76e9886909ffa3204c5",29,"05/13/10","single",0,18,1.38333333333333,0.277777777777778,0,0.722222222222222,0
"184","Stu_029eb9f0cdfed76e9886909ffa3204c5",30,"05/13/10","single",0,4,0.933333333333333,0.75,0,0.25,0
"187","Stu_029eb9f0cdfed76e9886909ffa3204c5",31,"05/13/10","single",0,4,0.566666666666667,0.75,0,0.25,0
